0.8506695522791831,	0.799404842418504,	0.7467875016907886,	0.7074259434600297,	0.6449343974029488,	0.5595833896929528,	
0.8517516569728121,	0.798999053158393,	0.7459759231705667,	0.7075612065467334,	0.6477749222237251,	0.5606654943865819,	
0.8513458677127012,	0.8004869471121331,	0.7444880292168268,	0.7053969971594751,	0.6495333423508725,	0.55985391586636,	
0.852157446232923,	0.8011632625456513,	0.7442175030434195,	0.7048559448126607,	0.6453401866630597,	0.55687812795888,	
0.852157446232923,	0.7985932638982821,	0.7443527661301231,	0.7056675233328824,	0.643717029622616,	0.5269849857973758,	
0.8509400784525903,	0.7949411605572839,	0.7358311916677939,	0.6750980657378601,	0.5482212904098471,	0.03665629649668605,	
0.8526984985797376,	0.7906127417827675,	0.7270390910320573,	0.5989449479237117,	0.327471932909509,	0.03665629649668605,	
